3,2,2013-01-03 16:52,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2012-10-22 08:41,CROWLEY,CRLY/UNIT3,PRES FACIL,
3,2,2012-10-19 08:43,CROWLEY,CRLY/UNIT3,PRES FACIL,
3,2,2012-10-09 15:52,CROWLEY,CRLY/UNIT3,PRES FACIL,
3,2,2012-09-25 08:32,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2012-09-21 09:21,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2012-07-10 13:44,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2012-04-25 09:52,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2012-04-05 13:32,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2011-04-28 09:39,CROWLEY,CRLY/UNIT6,PRES FACIL,
3,2,2011-04-25 11:59,CROWLEY,CRLY/UNIT3,PRES FACIL,
3,2,2011-04-12 13:25,CROWLEY,CCCF/RH,PRES FACIL,
3,2,2010-09-10 13:37,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2010-09-10 13:33,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2010-09-10 13:15,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2010-08-25 12:09,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2010-08-23 17:26,CROWLEY,CRLY/UNIT2,PRES FACIL,
3,2,2010-03-01 12:02,KIT CARSON,KIT/UNIT D,PRES FACIL,
3,2,2009-12-02 15:26,KIT CARSON,KIT/UNIT D,PRES FACIL,
3,2,2009-04-20 16:07,KIT CARSON,KIT/UNIT D,PRES FACIL,
3,2,2008-05-21 21:14,KIT CARSON,KIT/UNIT E,PRES FACIL,
3,2,2007-03-22 14:44,NORTH FORK,NFCF/CS,PRES FACIL,
3,2,2006-12-26 11:19,NORTH FORK,NFCF/CN,PRES FACIL,
3,2,2006-12-14 15:49,NORTH FORK,NFCF/GP,PRES FACIL,
3,2,2006-12-14 04:57,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2006-10-03 11:23,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-07-26 11:01,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-05-17 15:45,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-04-18 15:50,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-03-07 16:01,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-03-07 11:44,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-03-03 16:06,LIMON CF,LCF/UNIT5,PRES FACIL,
3,2,2006-02-28 15:57,LIMON CF,LCF/UNIT1,PRES FACIL,
3,2,2006-02-28 13:04,LIMON CF,LCF/INTAK,PRES FACIL,
3,2,2006-02-24 10:00,CENTENNIAL,CCF/UNIT3G,PRES FACIL,
3,2,2006-02-24 09:09,CENTENNIAL,CCF/UNIT3G,D/T CANON,
3,2,2005-07-06 13:29,CENTENNIAL,CCF/UNIT3G,PRES FACIL,
